"","PLOT_ID","LATITUDE","LONGITUDE","MAT_C","MAP","ELEVATION","AG_PROD_TREE_TOTAL_AS_CARBON","basal.weighted.CN"
"186",820,44.4371,-121.5679,7.9,482,1188,55,45.2634082397004
"194",908,44.5492,-121.6378,8.27,596,930,0,48.7441584269663
"197",911,44.5255,-121.6701,7.95,527,944,115,45.2634082397004
"198",912,44.5268,-121.6631,7.95,527,973,161,45.5830363560701
"203",917,44.5432,-121.7177,7.8,937,1162,0,45.2634082397004
"215",929,44.5649,-121.4938,8.75,463,1077,57,46.0544878277154
"227",941,44.5602,-121.5031,8.75,463,1100,22,55.5474428838951
"238",964,44.4982,-121.6239,7.95,581,914,NA,45.2634082397004
"239",965,44.4327,-121.6104,7.68,542,1138,NA,45.2634082397004
"240",966,44.4513,-121.5575,7.16,600,1254,NA,45.4216241573034
"245",971,44.5427,-121.5669,8.05,546,1280,NA,44.9316014811032
"251",1000,44.2321,-121.6701,6.92,646,1567,205,62.152404082397
"252",1001,44.2411,-121.6842,6.03,843,1509,311,48.7659083333333
"253",1002,44.3165,-121.7562,6.44,1365,1429,341,50.5539833333333
"254",1003,44.3015,-121.7017,6.81,841,1210,190,55.8154090909091
"255",1004,44.3703,-121.758,6.48,1346,1278,246,50.5908333333333
"256",1005,44.3258,-121.6738,7.1,624,1121,143,41.1322222222222
"257",1006,44.3442,-121.5727,7.87,425,979,124,43.911
"258",1007,44.258,-121.6496,6.21,757,1323,258,43.2490555555556
"259",1008,44.3233,-121.6054,7.78,443,1000,77,40.864
"260",1009,44.4515,-121.5577,7.16,600,1254,206,46.6142666666667
"261",1010,44.2031,-121.3676,8.45,290,1009,16,52.646
"262",1011,44.2471,-121.433,8.18,328,955,21,52.794
"263",1012,44.2974,-121.333,8.79,248,930,11,52.179
"264",1013,44.3113,-121.3275,9,257,910,15,35.386
"265",1014,44.264,-121.3435,8.67,290,976,19,64.25
